Source	Revision	Code	Name
mac	201212	110000	北京市
mac	201212	110101	东城区
mac	201212	110102	西城区
mac	201212	110105	朝阳区
mac	201212	110106	丰台区
mac	201212	110107	石景山区
mac	201212	110108	海淀区
mac	201212	110109	门头沟区
mac	201212	110111	房山区
mac	201212	110112	通州区
mac	201212	110113	顺义区
mac	201212	110114	昌平区
mac	201212	110115	大兴区
mac	201212	110116	怀柔区
mac	201212	110117	平谷区
mac	201212	110228	密云县
mac	201212	110229	延庆县
mac	201212	120000	天津市
mac	201212	120101	和平区
mac	201212	120102	河东区
mac	201212	120103	河西区
mac	201212	120104	南开区
mac	201212	120105	河北区
mac	201212	120106	红桥区
mac	201212	120110	东丽区
mac	201212	120111	西青区
mac	201212	120112	津南区
mac	201212	120113	北辰区
mac	201212	120114	武清区
mac	201212	120115	宝坻区
mac	201212	120116	滨海新区
mac	201212	120221	宁河县
mac	201212	120223	静海县
mac	201212	120225	蓟县
mac	201212	130000	河北省
mac	201212	130100	石家庄市
mac	201212	130102	长安区
mac	201212	130103	桥东区
mac	201212	130104	桥西区
mac	201212	130105	新华区
mac	201212	130107	井陉矿区
mac	201212	130108	裕华区
mac	201212	130121	井陉县
mac	201212	130123	正定县
mac	201212	130124	栾城县
mac	201212	130125	行唐县
mac	201212	130126	灵寿县
mac	201212	130127	高邑县
mac	201212	130128	深泽县
mac	201212	130129	赞皇县
mac	201212	130130	无极县
mac	201212	130131	平山县
mac	201212	130132	元氏县
mac	201212	130133	赵县
mac	201212	130181	辛集市
mac	201212	130182	藁城市
mac	201212	130183	晋州市
mac	201212	130184	新乐市
mac	201212	130185	鹿泉市
mac	201212	130200	唐山市
mac	201212	130202	路南区
mac	201212	130203	路北区
mac	201212	130204	古冶区
mac	201212	130205	开平区
mac	201212	130207	丰南区
mac	201212	130208	丰润区
mac	201212	130209	曹妃甸区
mac	201212	130223	滦县
mac	201212	130224	滦南县
mac	201212	130225	乐亭县
mac	201212	130227	迁西县
mac	201212	130229	玉田县
mac	201212	130281	遵化市
mac	201212	130283	迁安市
mac	201212	130300	秦皇岛市
mac	201212	130302	海港区
